,0,1,2
247,248,"{'TAE': 36197.40179501043, 'RMSE': 1471.175577919333, 'MAPE': 0.13149213568207443, 'AIC': np.float64(15514.237595634826), 'BIC': np.float64(15672.421978009967)}","2015-06-20    6342.081058
2015-06-21   -1197.214633
2015-06-22    7389.226684
2015-06-23    6132.869999
2015-06-24    5729.534597
2015-06-25    5842.997916
2015-06-26    5793.869097
2015-06-27    6203.526600
2015-06-28   -1337.342462
2015-06-29    9273.483947
2015-06-30    8159.300380
2015-07-01    7744.811588
2015-07-02    7882.517255
2015-07-03    7888.484446
2015-07-04    6176.408596
2015-07-05   -1364.647720
2015-07-06    7177.286688
2015-07-07    6079.993288
2015-07-08    5664.179475
2015-07-09    5804.765134
2015-07-10    5817.277735
2015-07-11    6162.528961
2015-07-12   -1378.549600
2015-07-13    9226.989441
2015-07-14    8131.702595
2015-07-15    7715.731369
2015-07-16    7856.659172
2015-07-17    7869.949367
2015-07-18    6150.222047
2015-07-19   -1390.859158
2015-07-20    7150.447111
2015-07-21    6055.398643
2015-07-22    5639.408716
2015-07-23    5780.377166
2015-07-24    5793.759740
2015-07-25    6138.101971
2015-07-26   -1402.979547
2015-07-27    9202.484871
2015-07-28    8107.464723
2015-07-29    7691.472574
2015-07-30    7832.445853
2015-07-31    7845.839401
Freq: D, Name: predicted_mean, dtype: float64"
248,249,"{'TAE': 153.72910712606972, 'RMSE': 577.4002505758689, 'MAPE': 0.09979558326028198, 'AIC': np.float64(14535.661360099868), 'BIC': np.float64(14693.845742475009)}","2015-06-20    4788.678663
2015-06-21     122.610779
2015-06-22    5511.067409
2015-06-23    4611.153094
2015-06-24    4436.841567
2015-06-25    4823.121930
2015-06-26    5024.685330
2015-06-27    4788.722144
2015-06-28     130.386642
2015-06-29    6753.530549
2015-06-30    5912.495867
2015-07-01    5733.572333
2015-07-02    6128.912254
2015-07-03    6315.234900
2015-07-04    4788.074883
2015-07-05     130.294123
2015-07-06    5455.521003
2015-07-07    4618.710500
2015-07-08    4439.456090
2015-07-09    4835.445967
2015-07-10    5020.675201
2015-07-11    4787.378066
2015-07-12     129.637105
2015-07-13    6748.244743
2015-07-14    5911.737294
2015-07-15    5732.459145
2015-07-16    6128.495652
2015-07-17    6313.646442
2015-07-18    4786.677694
2015-07-19     128.939588
2015-07-20    5453.841025
2015-07-21    4617.355318
2015-07-22    4438.075466
2015-07-23    4834.115318
2015-07-24    5019.260480
2015-07-25    4785.977067
2015-07-26     128.239166
2015-07-27    6746.823456
2015-07-28    5910.339309
2015-07-29    5731.059335
2015-07-30    6127.099427
2015-07-31    6312.244186
Freq: D, Name: predicted_mean, dtype: float64"
249,250,"{'TAE': 9828.422676657909, 'RMSE': 967.0636340802242, 'MAPE': 0.09969894810336663, 'AIC': np.float64(15332.908771336057), 'BIC': np.float64(15491.093153711197)}","2015-06-20     8899.972816
2015-06-21     -126.490070
2015-06-22     8100.460065
2015-06-23     6813.212712
2015-06-24     6535.363932
2015-06-25     6844.829880
2015-06-26     7019.366136
2015-06-27     9087.718855
2015-06-28      -69.006087
2015-06-29    13034.661627
2015-06-30    11072.182675
2015-07-01    10801.824039
2015-07-02    10505.844993
2015-07-03    11020.855464
2015-07-04     9042.039483
2015-07-05      -88.085737
2015-07-06     8619.959175
2015-07-07     6795.374221
2015-07-08     6523.485950
2015-07-09     6351.149339
2015-07-10     6796.629030
2015-07-11     9044.027072
2015-07-12      -91.530275
2015-07-13    12913.889071
2015-07-14    11061.143755
2015-07-15    10789.567862
2015-07-16    10591.981307
2015-07-17    11051.660397
2015-07-18     9036.280236
2015-07-19      -98.167776
2015-07-20     8629.941168
2015-07-21     6782.946690
2015-07-22     6511.307003
2015-07-23     6318.876927
2015-07-24     6775.656253
2015-07-25     9030.521339
2015-07-26     -104.153219
2015-07-27    12897.168702
2015-07-28    11048.999802
2015-07-29    10777.373143
2015-07-30    10583.890025
2015-07-31    11041.261533
Freq: D, Name: predicted_mean, dtype: float64"
250,251,"{'TAE': 41013.42291380779, 'RMSE': 2317.666025050105, 'MAPE': 0.11124535887095016, 'AIC': np.float64(16377.01531566453), 'BIC': np.float64(16535.19969803967)}","2015-06-20    19020.763357
2015-06-21      524.053235
2015-06-22    19814.010615
2015-06-23    17907.646998
2015-06-24    16775.619604
2015-06-25    16957.574768
2015-06-26    16988.458842
2015-06-27    19180.711465
2015-06-28      596.976012
2015-06-29    23843.979119
2015-06-30    22095.041569
2015-07-01    21069.577302
2015-07-02    21322.144202
2015-07-03    21340.453526
2015-07-04    19220.000231
2015-07-05      628.283781
2015-07-06    19572.261437
2015-07-07    17837.761257
2015-07-08    16822.069777
2015-07-09    17081.112401
2015-07-10    17098.268509
2015-07-11    19248.223463
2015-07-12      655.775084
2015-07-13    23871.048773
2015-07-14    22137.872629
2015-07-15    21123.077400
2015-07-16    21382.713906
2015-07-17    21399.764253
2015-07-18    19275.431886
2015-07-19      682.916383
2015-07-20    19623.984168
2015-07-21    17890.929450
2015-07-22    16876.216416
2015-07-23    17135.907386
2015-07-24    17152.948034
2015-07-25    19302.547242
2015-07-26      710.025583
2015-07-27    23925.032411
2015-07-28    22191.988829
2015-07-29    21177.283332
2015-07-30    21436.979297
2015-07-31    21454.019056
Freq: D, Name: predicted_mean, dtype: float64"
251,252,"{'TAE': 7303.689703561016, 'RMSE': 1151.4512591646765, 'MAPE': 0.08711838869022456, 'AIC': np.float64(15703.107634600934), 'BIC': np.float64(15861.292016976075)}","2015-06-20     9040.138513
2015-06-21      -16.563446
2015-06-22    10207.024046
2015-06-23     8395.012073
2015-06-24     8295.517940
2015-06-25     8045.166915
2015-06-26     8590.880239
2015-06-27     9447.466388
2015-06-28       64.194853
2015-06-29    14770.995699
2015-06-30    12710.364980
2015-07-01    12296.346613
2015-07-02    12148.748990
2015-07-03    12487.078533
2015-07-04     9385.776243
2015-07-05       53.015967
2015-07-06    10556.341480
2015-07-07     8534.169992
2015-07-08     8168.806219
2015-07-09     8005.313359
2015-07-10     8375.723697
2015-07-11     9396.631223
2015-07-12       56.057214
2015-07-13    14719.583093
2015-07-14    12691.462235
2015-07-15    12318.571942
2015-07-16    12157.537962
2015-07-17    12522.985629
2015-07-18     9396.263987
2015-07-19       56.898707
2015-07-20    10566.918551
2015-07-21     8539.718017
2015-07-22     8167.992024
2015-07-23     8006.577672
2015-07-24     8372.793029
2015-07-25     9397.632748
2015-07-26       58.080486
2015-07-27    14720.570801
2015-07-28    12693.227900
2015-07-29    12321.321797
2015-07-30    12159.966287
2015-07-31    12526.062887
Freq: D, Name: predicted_mean, dtype: float64"
252,253,"{'TAE': 1732.448119568755, 'RMSE': 765.1149181724612, 'MAPE': 0.11025318745813882, 'AIC': np.float64(14901.889089375627), 'BIC': np.float64(15060.073471750768)}","2015-06-20    4100.663671
2015-06-21    -192.234917
2015-06-22    5557.492064
2015-06-23    4516.105807
2015-06-24    4137.299174
2015-06-25    4076.896596
2015-06-26    4006.269283
2015-06-27    4113.203933
2015-06-28    -133.643187
2015-06-29    9118.392810
2015-06-30    7520.729532
2015-07-01    6861.562386
2015-07-02    6664.841498
2015-07-03    6467.365518
2015-07-04    4095.217406
2015-07-05    -165.558657
2015-07-06    6068.091616
2015-07-07    4638.681687
2015-07-08    4064.313288
2015-07-09    3908.823678
2015-07-10    3749.714757
2015-07-11    4086.464034
2015-07-12    -170.099037
2015-07-13    8935.567945
2015-07-14    7455.267563
2015-07-15    6855.250661
2015-07-16    6687.290105
2015-07-17    6516.576559
2015-07-18    4074.917971
2015-07-19    -182.919375
2015-07-20    6095.002145
2015-07-21    4630.094254
2015-07-22    4037.835081
2015-07-23    3873.646528
2015-07-24    3706.442954
2015-07-25    4064.216594
2015-07-26    -193.235330
2015-07-27    8899.041228
2015-07-28    7429.477674
2015-07-29    6834.872073
2015-07-30    6669.542628
2015-07-31    6501.277417
Freq: D, Name: predicted_mean, dtype: float64"
253,254,"{'TAE': 8185.936231693369, 'RMSE': 414.6589305244572, 'MAPE': 0.13080529437742905, 'AIC': np.float64(13734.576183727015), 'BIC': np.float64(13892.760566102155)}","2015-06-20    3574.674289
2015-06-21      79.876489
2015-06-22    3155.954294
2015-06-23    2649.154092
2015-06-24    2474.876060
2015-06-25    2459.307493
2015-06-26    2777.515499
2015-06-27    3731.420908
2015-06-28     126.242103
2015-06-29    4114.853387
2015-06-30    3657.563958
2015-07-01    3538.541620
2015-07-02    3528.864424
2015-07-03    3908.470045
2015-07-04    3753.884140
2015-07-05     135.854572
2015-07-06    3046.170108
2015-07-07    2594.642668
2015-07-08    2482.051114
2015-07-09    2473.059562
2015-07-10    2859.810836
2015-07-11    3760.713461
2015-07-12     141.188279
2015-07-13    4110.506604
2015-07-14    3659.649764
2015-07-15    3547.806645
2015-07-16    3538.894891
2015-07-17    3926.477799
2015-07-18    3765.723256
2015-07-19     146.024010
2015-07-20    3054.094167
2015-07-21    2603.315374
2015-07-22    2491.559360
2015-07-23    2482.656893
2015-07-24    2870.336589
2015-07-25    3770.521289
2015-07-26     150.801784
2015-07-27    4119.858785
2015-07-28    3669.089075
2015-07-29    3557.343199
2015-07-30    3548.441812
2015-07-31    3936.132773
Freq: D, Name: predicted_mean, dtype: float64"
254,255,"{'TAE': 11508.6606495468, 'RMSE': 687.7708052034866, 'MAPE': 0.09389712538653779, 'AIC': np.float64(14796.028927022258), 'BIC': np.float64(14954.213309397399)}","2015-06-20    6782.095298
2015-06-21     352.973020
2015-06-22    6227.250316
2015-06-23    5176.237986
2015-06-24    5191.194931
2015-06-25    5090.747775
2015-06-26    5689.454923
2015-06-27    6907.057400
2015-06-28     407.716876
2015-06-29    8407.409969
2015-06-30    7381.666143
2015-07-01    7398.115603
2015-07-02    7362.478177
2015-07-03    7908.464027
2015-07-04    6919.916402
2015-07-05     416.151359
2015-07-06    6213.758073
2015-07-07    5189.597670
2015-07-08    5206.140163
2015-07-09    5174.568678
2015-07-10    5717.246757
2015-07-11    6925.714221
2015-07-12     421.671580
2015-07-13    8416.548356
2015-07-14    7392.487296
2015-07-15    7409.035626
2015-07-16    7377.719236
2015-07-17    7920.189787
2015-07-18    6931.069016
2015-07-19     427.008958
2015-07-20    6224.313497
2015-07-21    5200.258669
2015-07-22    5216.807365
2015-07-23    5185.506981
2015-07-24    5727.964511
2015-07-25    6936.396016
2015-07-26     432.334866
2015-07-27    8427.192684
2015-07-28    7403.138247
2015-07-29    7419.686966
2015-07-30    7388.387586
2015-07-31    7930.844299
Freq: D, Name: predicted_mean, dtype: float64"
255,256,"{'TAE': 29470.514272681903, 'RMSE': 1582.649150528591, 'MAPE': 0.17502477640222336, 'AIC': np.float64(15908.768591017131), 'BIC': np.float64(16066.952973392272)}","2015-06-20     7242.069355
2015-06-21     -787.366717
2015-06-22     8245.661871
2015-06-23     7094.830262
2015-06-24     6135.372922
2015-06-25     6660.063102
2015-06-26     6436.126031
2015-06-27     8518.002846
2015-06-28     -257.609019
2015-06-29    12581.884452
2015-06-30    11341.853701
2015-07-01    10335.365607
2015-07-02    10865.007896
2015-07-03    10662.777041
2015-07-04     8557.903520
2015-07-05     -245.538312
2015-07-06     8453.267327
2015-07-07     7209.747088
2015-07-08     6201.457539
2015-07-09     6731.186877
2015-07-10     6529.664031
2015-07-11     8551.439485
2015-07-12     -252.963548
2015-07-13    12574.083305
2015-07-14    11330.442081
2015-07-15    10322.090177
2015-07-16    10851.822244
2015-07-17    10650.323562
2015-07-18     8543.373334
2015-07-19     -261.062679
2015-07-20     8437.313128
2015-07-21     7193.667751
2015-07-22     6185.313708
2015-07-23     6715.045867
2015-07-24     6513.548013
2015-07-25     8535.252211
2015-07-26     -269.184933
2015-07-27    12557.847173
2015-07-28    11314.201654
2015-07-29    10305.847537
2015-07-30    10835.579700
2015-07-31    10634.081874
Freq: D, Name: predicted_mean, dtype: float64"
256,257,"{'TAE': 11713.35950107983, 'RMSE': 726.8450340304591, 'MAPE': 0.09677884362818182, 'AIC': np.float64(14176.740078414818), 'BIC': np.float64(14334.924460789958)}","2015-06-20    2736.870500
2015-06-21    -457.865924
2015-06-22    5170.224091
2015-06-23    4562.893646
2015-06-24    4052.627898
2015-06-25    4266.472341
2015-06-26    4210.297731
2015-06-27    2771.133145
2015-06-28    -467.586781
2015-06-29    6463.425707
2015-06-30    5847.620671
2015-07-01    5331.501932
2015-07-02    5542.595125
2015-07-03    5484.773007
2015-07-04    2741.869715
2015-07-05    -495.896460
2015-07-06    5123.528443
2015-07-07    4507.907183
2015-07-08    3991.915371
2015-07-09    4203.068227
2015-07-10    4145.281836
2015-07-11    2713.983821
2015-07-12    -523.803037
2015-07-13    6407.397352
2015-07-14    5791.772107
2015-07-15    5275.777542
2015-07-16    5486.929104
2015-07-17    5429.141939
2015-07-18    2686.068054
2015-07-19    -551.718355
2015-07-20    5067.702473
2015-07-21    4452.077314
2015-07-22    3936.082809
2015-07-23    4147.234399
2015-07-24    4089.447251
2015-07-25    2658.152935
2015-07-26    -579.633484
2015-07-27    6351.566992
2015-07-28    5735.941832
2015-07-29    5219.947326
2015-07-30    5431.098915
2015-07-31    5373.311766
Freq: D, Name: predicted_mean, dtype: float64"
257,258,"{'TAE': 5648.5920602733095, 'RMSE': 660.4065369660132, 'MAPE': 0.09151759633127253, 'AIC': np.float64(11457.72283808438), 'BIC': np.float64(11615.907220459521)}","2015-06-20    4543.420612
2015-06-21      55.857377
2015-06-22    5987.562931
2015-06-23    5008.317287
2015-06-24    4921.018261
2015-06-25    5110.220543
2015-06-26    5649.038726
2015-06-27    4563.469747
2015-06-28      51.481160
2015-06-29    7172.864008
2015-06-30    6173.569846
2015-07-01    6044.958843
2015-07-02    6232.841035
2015-07-03    6758.416660
2015-07-04    4560.955885
2015-07-05      50.246692
2015-07-06    6030.893938
2015-07-07    5032.649913
2015-07-08    4906.202822
2015-07-09    5094.154160
2015-07-10    5620.423427
2015-07-11    4559.623867
2015-07-12      48.847660
2015-07-13    7167.666953
2015-07-14    6169.367922
2015-07-15    6042.807485
2015-07-16    6230.755202
2015-07-17    6756.988136
2015-07-18    4558.229945
2015-07-19      47.457247
2015-07-20    6028.238772
2015-07-21    5029.942622
2015-07-22    4903.388123
2015-07-23    5091.336029
2015-07-24    5617.570866
2015-07-25    4556.839265
2015-07-26      46.066384
2015-07-27    7164.878643
2015-07-28    6166.582343
2015-07-29    6040.027532
2015-07-30    6227.975428
2015-07-31    6754.210166
Freq: D, Name: predicted_mean, dtype: float64"
258,259,"{'TAE': 43768.23102526774, 'RMSE': 1307.3654614093032, 'MAPE': 0.09271536228191334, 'AIC': np.float64(15022.7825888868), 'BIC': np.float64(15180.96697126194)}","2015-06-20     9985.760443
2015-06-21    17703.376931
2015-06-22    13504.003702
2015-06-23    12486.127558
2015-06-24    12369.767663
2015-06-25    13353.725938
2015-06-26    13192.397995
2015-06-27    10037.230926
2015-06-28    17767.750437
2015-06-29    14493.992261
2015-06-30    13483.349489
2015-07-01    13359.511721
2015-07-02    14330.815834
2015-07-03    14184.703224
2015-07-04    10088.889639
2015-07-05    17819.189928
2015-07-06    13605.062158
2015-07-07    12594.303578
2015-07-08    12470.539150
2015-07-09    13441.986018
2015-07-10    13295.679078
2015-07-11    10140.372794
2015-07-12    17870.672165
2015-07-13    14597.051302
2015-07-14    13586.292537
2015-07-15    13462.526143
2015-07-16    14433.970551
2015-07-17    14287.665513
2015-07-18    10191.847917
2015-07-19    17922.147088
2015-07-20    13708.015094
2015-07-21    12697.256238
2015-07-22    12573.489805
2015-07-23    13544.934201
2015-07-24    13398.629112
2015-07-25    10243.322541
2015-07-26    17973.621702
2015-07-27    14700.000741
2015-07-28    13689.241881
2015-07-29    13565.475444
2015-07-30    14536.919838
2015-07-31    14390.614748
Freq: D, Name: predicted_mean, dtype: float64"
259,260,"{'TAE': 6978.353852495202, 'RMSE': 459.547749586394, 'MAPE': 0.0634873761686621, 'AIC': np.float64(13867.865631168834), 'BIC': np.float64(14026.050013543974)}","2015-06-20    6450.914777
2015-06-21     -57.098188
2015-06-22    6692.138583
2015-06-23    5946.109115
2015-06-24    5777.646359
2015-06-25    5787.295636
2015-06-26    5800.793193
2015-06-27    6606.789357
2015-06-28     -27.247464
2015-06-29    7553.302810
2015-06-30    6840.815847
2015-07-01    6571.633071
2015-07-02    6669.056665
2015-07-03    6660.381549
2015-07-04    6632.705106
2015-07-05     -22.659620
2015-07-06    6765.069511
2015-07-07    6058.248344
2015-07-08    5772.042528
2015-07-09    5884.300012
2015-07-10    5871.877529
2015-07-11    6636.614085
2015-07-12     -22.355151
2015-07-13    7564.691063
2015-07-14    6858.827437
2015-07-15    6569.744660
2015-07-16    6684.509129
2015-07-17    6671.453327
2015-07-18    6636.803819
2015-07-19     -22.774593
2015-07-20    6766.052374
2015-07-21    6060.350576
2015-07-22    5770.781582
2015-07-23    5885.969741
2015-07-24    5872.806905
2015-07-25    6636.364986
2015-07-26     -23.316379
2015-07-27    7563.915373
2015-07-28    6858.240925
2015-07-29    6568.589758
2015-07-30    6683.849522
2015-07-31    6670.668598
Freq: D, Name: predicted_mean, dtype: float64"
260,261,"{'TAE': 11369.636248173367, 'RMSE': 1630.6613897831598, 'MAPE': 0.11757394535200845, 'AIC': np.float64(16265.589497018722), 'BIC': np.float64(16423.773879393862)}","2015-06-20     6542.322724
2015-06-21    -1189.345768
2015-06-22    11262.193956
2015-06-23     8139.018762
2015-06-24     7324.864595
2015-06-25     8150.397363
2015-06-26     7677.267420
2015-06-27     6704.340089
2015-06-28    -1034.118691
2015-06-29    19377.976963
2015-06-30    15979.991947
2015-07-01    15172.517914
2015-07-02    15738.316933
2015-07-03    15379.170244
2015-07-04     6657.887775
2015-07-05    -1079.687418
2015-07-06    11478.036013
2015-07-07     8115.853078
2015-07-08     7307.508752
2015-07-09     7907.145784
2015-07-10     7533.149399
2015-07-11     6638.593512
2015-07-12    -1099.096794
2015-07-13    19299.165085
2015-07-14    15932.317869
2015-07-15    15124.086924
2015-07-16    15719.315552
2015-07-17    15347.253780
2015-07-18     6615.761109
2015-07-19    -1121.914200
2015-07-20    11437.611490
2015-07-21     8071.371934
2015-07-22     7263.126218
2015-07-23     7858.929172
2015-07-24     7486.615359
2015-07-25     6593.389654
2015-07-26    -1144.287609
2015-07-27    19253.739472
2015-07-28    15887.420751
2015-07-29    15079.176959
2015-07-30    15674.905090
2015-07-31    15302.624113
Freq: D, Name: predicted_mean, dtype: float64"
261,262,"{'TAE': 40092.006616878556, 'RMSE': 1625.5512000125352, 'MAPE': 0.05880280384688463, 'AIC': np.float64(16160.149896103632), 'BIC': np.float64(16318.334278478773)}","2015-06-20    16879.115066
2015-06-21    28434.523176
2015-06-22    18186.234453
2015-06-23    17028.191883
2015-06-24    16643.355711
2015-06-25    17501.324841
2015-06-26    19128.588399
2015-06-27    17396.650544
2015-06-28    28621.148422
2015-06-29    21128.557170
2015-06-30    19871.434610
2015-07-01    19435.218254
2015-07-02    20348.144027
2015-07-03    22021.881523
2015-07-04    17452.694984
2015-07-05    28638.705598
2015-07-06    18376.039834
2015-07-07    17107.417316
2015-07-08    16665.209758
2015-07-09    17583.505163
2015-07-10    19261.889579
2015-07-11    17451.993120
2015-07-12    28633.943171
2015-07-13    21137.630115
2015-07-14    19867.794596
2015-07-15    19424.954754
2015-07-16    20343.804143
2015-07-17    22022.669528
2015-07-18    17445.266625
2015-07-19    28626.793369
2015-07-20    18363.709805
2015-07-21    17093.747837
2015-07-22    16650.842078
2015-07-23    17569.749049
2015-07-24    19248.664449
2015-07-25    17437.911563
2015-07-26    28619.394246
2015-07-27    21123.037296
2015-07-28    19853.062166
2015-07-29    19410.149546
2015-07-30    20329.062508
2015-07-31    22007.983112
Freq: D, Name: predicted_mean, dtype: float64"
262,263,"{'TAE': 5087.07981638817, 'RMSE': 462.7773667632501, 'MAPE': 0.08459110929290713, 'AIC': np.float64(10789.776030555158), 'BIC': np.float64(10947.960412930299)}","2015-06-20    5522.334523
2015-06-21      65.328305
2015-06-22    4418.957807
2015-06-23    3901.255500
2015-06-24    3782.928388
2015-06-25    3705.784037
2015-06-26    3906.863995
2015-06-27    5630.783952
2015-06-28     102.398487
2015-06-29    5146.492635
2015-06-30    4621.302699
2015-07-01    4505.384524
2015-07-02    4432.650430
2015-07-03    4635.025221
2015-07-04    5643.098527
2015-07-05     113.591947
2015-07-06    4444.858352
2015-07-07    3919.551040
2015-07-08    3803.670122
2015-07-09    3731.004604
2015-07-10    3933.399530
2015-07-11    5653.902607
2015-07-12     124.378576
2015-07-13    5168.121747
2015-07-14    4642.812607
2015-07-15    4526.932269
2015-07-16    4454.267819
2015-07-17    4656.663058
2015-07-18    5664.683175
2015-07-19     135.158871
2015-07-20    4466.419813
2015-07-21    3941.110645
2015-07-22    3825.230316
2015-07-23    3752.565882
2015-07-24    3954.961127
2015-07-25    5675.463376
2015-07-26     145.939069
2015-07-27    5189.682155
2015-07-28    4664.372986
2015-07-29    4548.492657
2015-07-30    4475.828224
2015-07-31    4678.223468
Freq: D, Name: predicted_mean, dtype: float64"
263,264,"{'TAE': 6348.140588694281, 'RMSE': 758.033379929331, 'MAPE': 0.09121946896623606, 'AIC': np.float64(15387.104090882734), 'BIC': np.float64(15545.288473257875)}","2015-06-20    5310.551834
2015-06-21    -731.406154
2015-06-22    6685.430063
2015-06-23    5515.781358
2015-06-24    4917.847776
2015-06-25    5081.774698
2015-06-26    4967.528529
2015-06-27    5856.747523
2015-06-28    -481.273755
2015-06-29    9894.487832
2015-06-30    8662.242613
2015-07-01    8035.393403
2015-07-02    8185.907610
2015-07-03    8065.821783
2015-07-04    5856.210086
2015-07-05    -483.273310
2015-07-06    6796.146862
2015-07-07    5563.589975
2015-07-08    4936.596807
2015-07-09    5087.044496
2015-07-10    4966.928108
2015-07-11    5852.968165
2015-07-12    -486.521850
2015-07-13    9888.561348
2015-07-14    8656.003049
2015-07-15    8029.009229
2015-07-16    8179.456617
2015-07-17    8059.340090
2015-07-18    5849.713998
2015-07-19    -489.776046
2015-07-20    6789.641054
2015-07-21    5557.082749
2015-07-22    4930.088926
2015-07-23    5080.536312
2015-07-24    4960.419785
2015-07-25    5846.459776
2015-07-26    -493.030268
2015-07-27    9882.052916
2015-07-28    8649.494611
2015-07-29    8022.500788
2015-07-30    8172.948174
2015-07-31    8052.831647
Freq: D, Name: predicted_mean, dtype: float64"
264,265,"{'TAE': 2515.188329214521, 'RMSE': 780.1342495324723, 'MAPE': 0.11268644091561342, 'AIC': np.float64(14479.55952228262), 'BIC': np.float64(14637.74390465776)}","2015-06-20    2862.931842
2015-06-21     398.551703
2015-06-22    5553.657780
2015-06-23    4569.336665
2015-06-24    4315.852120
2015-06-25    4559.453929
2015-06-26    4393.682866
2015-06-27    3111.647203
2015-06-28     410.898763
2015-06-29    7969.263441
2015-06-30    6814.221539
2015-07-01    6463.199764
2015-07-02    6469.442928
2015-07-03    6451.566682
2015-07-04    3082.010369
2015-07-05     414.071699
2015-07-06    5760.917780
2015-07-07    4629.587579
2015-07-08    4292.113426
2015-07-09    4331.326043
2015-07-10    4292.906871
2015-07-11    3091.006254
2015-07-12     418.510238
2015-07-13    7950.235588
2015-07-14    6815.611784
2015-07-15    6476.255839
2015-07-16    6510.888933
2015-07-17    6475.323215
2015-07-18    3094.635973
2015-07-19     422.772982
2015-07-20    5773.319318
2015-07-21    4639.153002
2015-07-22    4300.058441
2015-07-23    4335.327640
2015-07-24    4299.365572
2015-07-25    3099.011063
2015-07-26     427.060143
2015-07-27    7958.271520
2015-07-28    6824.041658
2015-07-29    6484.910791
2015-07-30    6520.091634
2015-07-31    6484.184619
Freq: D, Name: predicted_mean, dtype: float64"
265,266,"{'TAE': 7807.709468459972, 'RMSE': 466.97975308400447, 'MAPE': 0.0869666815656151, 'AIC': np.float64(14170.551965527835), 'BIC': np.float64(14328.736347902975)}","2015-06-20    2125.318135
2015-06-21    -310.272999
2015-06-22    4072.219384
2015-06-23    3720.262450
2015-06-24    3319.631464
2015-06-25    3678.174334
2015-06-26    3173.325034
2015-06-27    2219.182159
2015-06-28    -302.329685
2015-06-29    5408.490011
2015-06-30    5031.183668
2015-07-01    4646.288661
2015-07-02    4994.156938
2015-07-03    4477.940351
2015-07-04    2198.754206
2015-07-05    -320.918163
2015-07-06    4052.830539
2015-07-07    3676.067017
2015-07-08    3290.835036
2015-07-09    3638.931900
2015-07-10    3122.958732
2015-07-11    2180.773181
2015-07-12    -338.938579
2015-07-13    5372.068279
2015-07-14    4995.293133
2015-07-15    4610.068369
2015-07-16    4958.160337
2015-07-17    4442.181957
2015-07-18    2162.739757
2015-07-19    -356.971159
2015-07-20    4016.773535
2015-07-21    3639.998638
2015-07-22    3254.773719
2015-07-23    3602.865792
2015-07-24    3086.887523
2015-07-25    2144.707455
2015-07-26    -375.003479
2015-07-27    5336.003465
2015-07-28    4959.228563
2015-07-29    4574.003647
2015-07-30    4922.095718
2015-07-31    4406.117446
Freq: D, Name: predicted_mean, dtype: float64"
266,267,"{'TAE': 24660.392903890926, 'RMSE': 1552.4963298462005, 'MAPE': 0.13006458023670273, 'AIC': np.float64(15807.718077057452), 'BIC': np.float64(15965.902459432593)}","2015-06-20    10611.406515
2015-06-21     -451.206535
2015-06-22     8103.580091
2015-06-23     6570.319577
2015-06-24     6440.719149
2015-06-25     8634.869986
2015-06-26     7167.928646
2015-06-27    10625.084559
2015-06-28     -512.470077
2015-06-29     9913.078453
2015-06-30     8576.681657
2015-07-01     8513.877135
2015-07-02    10491.556709
2015-07-03     9424.270343
2015-07-04    10625.539401
2015-07-05     -533.166432
2015-07-06     7825.721015
2015-07-07     6544.811808
2015-07-08     6500.834356
2015-07-09     8417.497134
2015-07-10     7462.861197
2015-07-11    10622.228536
2015-07-12     -542.439175
2015-07-13     9827.883509
2015-07-14     8562.614552
2015-07-15     8523.943874
2015-07-16    10423.407888
2015-07-17     9500.524652
2015-07-18    10617.856228
2015-07-19     -548.491955
2015-07-20     7794.829019
2015-07-21     6533.968568
2015-07-22     6496.793707
2015-07-23     8391.409917
2015-07-24     7477.476795
2015-07-25    10613.184731
2015-07-26     -553.637125
2015-07-27     9812.297848
2015-07-28     8552.680021
2015-07-29     8515.926784
2015-07-30    10409.176547
2015-07-31     9497.766187
Freq: D, Name: predicted_mean, dtype: float64"
267,268,"{'TAE': 11575.653834258701, 'RMSE': 773.9920926397475, 'MAPE': 0.13990168966983713, 'AIC': np.float64(14392.038008885358), 'BIC': np.float64(14550.222391260499)}","2015-06-20    3611.684512
2015-06-21     176.185090
2015-06-22    5027.261173
2015-06-23    4302.131495
2015-06-24    4496.943516
2015-06-25    3897.734924
2015-06-26    4240.595714
2015-06-27    3659.060281
2015-06-28     170.539036
2015-06-29    6918.213776
2015-06-30    6121.162405
2015-07-01    6333.178432
2015-07-02    5707.403793
2015-07-03    6041.924529
2015-07-04    3655.984957
2015-07-05     172.171252
2015-07-06    5044.073116
2015-07-07    4253.407553
2015-07-08    4463.896062
2015-07-09    3840.480181
2015-07-10    4175.741417
2015-07-11    3657.388884
2015-07-12     173.157204
2015-07-13    6918.982824
2015-07-14    6127.750275
2015-07-15    6338.374410
2015-07-16    5714.749098
2015-07-17    6049.944586
2015-07-18    3658.395105
2015-07-19     174.200536
2015-07-20    5046.266581
2015-07-21    4255.084374
2015-07-22    4465.696467
2015-07-23    3842.089750
2015-07-24    4177.291076
2015-07-25    3659.436638
2015-07-26     175.238774
2015-07-27    6921.049817
2015-07-28    6129.863140
2015-07-29    6340.476302
2015-07-30    5716.867934
2015-07-31    6052.068742
Freq: D, Name: predicted_mean, dtype: float64"
